frame_number,timestamp,src_mac,dst_mac,appid,gocb_ref,time_allowed,st_num,sq_num,test,conf_rev,nds_com,packet_size,time_diff
103,2025-08-16 16:09:14.720801,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155749,1,N/A,1,False,343,0.001904
104,2025-08-16 16:09:14.723136,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155749,2,N/A,1,False,343,0.002335
105,2025-08-16 16:09:14.726950,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155749,3,N/A,1,False,343,0.003814
106,2025-08-16 16:09:14.735021,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155749,4,N/A,1,False,343,0.008071
107,2025-08-16 16:09:14.776470,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224197,0,N/A,1,False,315,0.041449
108,2025-08-16 16:09:14.778549,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224197,1,N/A,1,False,315,0.002079
109,2025-08-16 16:09:14.780937,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224197,2,N/A,1,False,315,0.002388
110,2025-08-16 16:09:14.784611,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224197,3,N/A,1,False,315,0.003674
111,2025-08-16 16:09:14.792770,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224197,4,N/A,1,False,315,0.008159
112,2025-08-16 16:09:15.238212,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155750,0,N/A,1,False,343,0.445442
113,2025-08-16 16:09:15.239313,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155750,1,N/A,1,False,343,0.001101
114,2025-08-16 16:09:15.241503,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155750,2,N/A,1,False,343,0.00219
115,2025-08-16 16:09:15.246288,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155750,3,N/A,1,False,343,0.004785
116,2025-08-16 16:09:15.253996,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155750,4,N/A,1,False,343,0.007708
117,2025-08-16 16:09:15.368040,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155751,0,N/A,1,False,343,0.114044
118,2025-08-16 16:09:15.369619,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155751,1,N/A,1,False,343,0.001579
